issue,fix-commit,tests
TIKA-533,d60651e489947e4a57eac775928e4b82d77fbd6d,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/detect/TestContainerAwareDetector.java']
TIKA-534,cd45bd25057d9718afac37c69e6b4ab5b1b91a7b,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/jpeg/JpegParserTest.java']
TIKA-548,edd122dde40de1eb77e8da15039a3aaf6792610e,[]
TIKA-548,8e58142f50588e11c75529c0489a04d9cb167e1e,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java']
TIKA-555,683ac820ebcdbfdc9cd1b4c8b0fe33fafdd93ee3,[]
TIKA-557,00afd536d98a496ae88c523a9e0d511e6b765538,[]
TIKA-567,b6f45ba65a19f05aebded8444e0de3aab35dc175,[]
TIKA-567,05f333cec46f9e48312de6bde67722bc4cf5b41c,[]
TIKA-567,ff74808a0f61614f075a38de8e0a5220f5837c2b,[]
TIKA-567,dba5043a3beb6fc0ef732c6a7553d0f7071ea802,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/microsoft/AbstractPOIContainerExtractionTest.java']
TIKA-567,bf42aac951f70ae6396055e341e2de6b55616a70,[]
TIKA-581,46dce5b798874e3b1130ad3f39308d89068b8d52,[]
TIKA-585,3e795106be703e44c0400c2617d340705748ef9e,[]
TIKA-587,81336229e106373e3eaa190f61c8ac2667c85fe9,[]
TIKA-587,b65fad1d762bdc691258a4b5d473671e1162801f,[]
TIKA-592,ca6b5ca5614867a682b966fdfa35a6f7b48c1591,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/dwg/DWGParserTest.java']
TIKA-595,a0d5a4f7fb1f0eb938f9b5d9c894f0337cfeecc5,[]
TIKA-596,88a018918d054ca07551035fdfb14ef4475dede2,[]
TIKA-597,e15598f83c404abb840bfe5cf285a436d2c3df3f,[]
TIKA-597,ba5671c3f668decc79809d6ed8c8880219ab0ddc,[]
TIKA-599,d7601cc4516c3e2e9d00e882ba3bbf9c8f16ef8d,[]
TIKA-600,2c5efd4a5bc0fab0d06677ae6f406dadc76c601e,[]
TIKA-606,2bf987b00c7d0b4d772b3502842ac3bb673198e6,[]
TIKA-607,1bbaa907a3d0fa8f8a21795f00fc46b1e7e7c469,[]
TIKA-609,2129a0f906deee6fb05563da91d8642a72ac824b,[]
TIKA-611,4fca14426d641bb81e49ba5ec5c9534dc8375e43,[]
TIKA-618,8b87a3848fc28ffaf536c5d3e5954239959cac2f,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/mail/RFC822ParserTest.java']
TIKA-619,3ab6160ca74fd1d6bb2e5de3ddb43d48b4ebef9b,[]
TIKA-621,b6d67d32c1e43de488673d1925e0b6319588e4f9,[]
TIKA-632,c80eee31e10872648a1d23fefc8e13bb3b0e65a4,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/rtf/RTFParserTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/microsoft/OutlookParserTest.java']"
TIKA-632,7aeed0b52f5fbd5a1955270046220350d9a72885,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/microsoft/OutlookParserTest.java']
TIKA-633,7dc399b99823bbbd77ab6e6ab0b9cc1870210c0c,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/microsoft/ooxml/OOXMLParserTest.java']
TIKA-642,329ebc5b5f3d7813fc50e58c9679db1b35e69f4f,[]
TIKA-643,03752ab3ea833c939929b677ae6f5465a872f7be,[]
TIKA-643,a5df8777ca65f6f40545d0c02455b2443c6955c0,[]
TIKA-643,0a7b8ce9f466dd895316084dcdd1ccc5401629a4,[]
TIKA-644,9c9d6f85aa15ab2e65d103b0b0d34769dbfe100c,[]
TIKA-645,406cca3479f95de7543c59d8bd31856409b701b3,[]
